;Rendszam;Adatok;Rendszam_kep_url;Lowres_kep_url;Highres_kep_url
0;EEY-682;EEY-682, Skoda Favorit;http://img03.platesmania.com/220320/inf/186999633aa4cb.png;http://img03.platesmania.com/220320/o/18699963.jpg;http://img03.platesmania.com/220320/m/18699963.jpg
1;HPN-496;HPN-496, Mitsubishi L200;http://img03.platesmania.com/220320/inf/186998417b1d22.png;http://img03.platesmania.com/220320/o/18699841.jpg;http://img03.platesmania.com/220320/m/18699841.jpg
2;DLP-474;DLP-474, Opel Astra;http://img03.platesmania.com/220320/inf/1869977453cb80.png;http://img03.platesmania.com/220320/o/18699774.jpg;http://img03.platesmania.com/220320/m/18699774.jpg
3;EFR-179;EFR-179, Opel Kadett;http://img03.platesmania.com/220320/inf/1869976117b4b5.png;http://img03.platesmania.com/220320/o/18699761.jpg;http://img03.platesmania.com/220320/m/18699761.jpg
4;FUU-418;FUU-418, License plate without vehicle;http://img03.platesmania.com/220320/inf/186996326e3c4a.png;http://img03.platesmania.com/220320/o/18699632.jpg;http://img03.platesmania.com/220320/m/18699632.jpg
5;SPW-047;SPW-047, Toyota RAV4;http://img03.platesmania.com/220320/inf/1869952801653e.png;http://img03.platesmania.com/220320/o/18699528.jpg;http://img03.platesmania.com/220320/m/18699528.jpg
6;FBD-387;FBD-387, Daimler 4.0;http://img03.platesmania.com/220320/inf/186994991c3816.png;http://img03.platesmania.com/220320/o/18699499.jpg;http://img03.platesmania.com/220320/m/18699499.jpg
7;EZE-233;EZE-233, Volkswagen Jetta;http://img03.platesmania.com/220320/inf/186994226805b1.png;http://img03.platesmania.com/220320/o/18699422.jpg;http://img03.platesmania.com/220320/m/18699422.jpg
8;FFY-564;FFY-564, Lada (VAZ) 2121 Нива;http://img03.platesmania.com/220320/inf/186992039abc98.png;http://img03.platesmania.com/220320/o/18699203.jpg;http://img03.platesmania.com/220320/m/18699203.jpg
9;DOG-712;DOG-712, Renault 5;http://img03.platesmania.com/220320/inf/18699181969782.png;http://img03.platesmania.com/220320/o/18699181.jpg;http://img03.platesmania.com/220320/m/18699181.jpg
10;EUR-646;EUR-646, BMW 3 Series;http://img03.platesmania.com/220320/inf/1869912855f5d5.png;http://img03.platesmania.com/220320/o/18699128.jpg;http://img03.platesmania.com/220320/m/18699128.jpg
11;FCP-380;FCP-380, Peugeot 106;http://img03.platesmania.com/220320/inf/18699096174119.png;http://img03.platesmania.com/220320/o/18699096.jpg;http://img03.platesmania.com/220320/m/18699096.jpg
12;PLG-778;PLG-778, Skoda Superb;http://img03.platesmania.com/220320/inf/18699070d27b69.png;http://img03.platesmania.com/220320/o/18699070.jpg;http://img03.platesmania.com/220320/m/18699070.jpg
13;FAX-894;FAX-894, Opel Corsa;http://img03.platesmania.com/220320/inf/18698937420e2e.png;http://img03.platesmania.com/220320/o/18698937.jpg;http://img03.platesmania.com/220320/m/18698937.jpg
14;IAS-014;IAS-014, Suzuki Wagon R;http://img03.platesmania.com/220320/inf/186987847a9d9f.png;http://img03.platesmania.com/220320/o/18698784.jpg;http://img03.platesmania.com/220320/m/18698784.jpg
15;LLP-676;LLP-676, Opel Astra;http://img03.platesmania.com/220320/inf/18698742ec2414.png;http://img03.platesmania.com/220320/o/18698742.jpg;http://img03.platesmania.com/220320/m/18698742.jpg
16;HKJ-887;HKJ-887, Suzuki Wagon R;http://img03.platesmania.com/220320/inf/186986387de163.png;http://img03.platesmania.com/220320/o/18698638.jpg;http://img03.platesmania.com/220320/m/18698638.jpg
17;JWH-623;JWH-623, Suzuki Swift;http://img03.platesmania.com/220320/inf/18698626fce796.png;http://img03.platesmania.com/220320/o/18698626.jpg;http://img03.platesmania.com/220320/m/18698626.jpg
18;SAZ-651;SAZ-651, Volkswagen Touran;http://img03.platesmania.com/220320/inf/186986225fe4b8.png;http://img03.platesmania.com/220320/o/18698622.jpg;http://img03.platesmania.com/220320/m/18698622.jpg
19;SAZ-946;SAZ-946, Volkswagen Touran;http://img03.platesmania.com/220320/inf/18698599d5ca41.png;http://img03.platesmania.com/220320/o/18698599.jpg;http://img03.platesmania.com/220320/m/18698599.jpg
20;HJX-779;HJX-779, Suzuki Swift;http://img03.platesmania.com/220320/inf/18698501665f98.png;http://img03.platesmania.com/220320/o/18698501.jpg;http://img03.platesmania.com/220320/m/18698501.jpg
21;JMZ-516;JMZ-516, Toyota Avensis;http://img03.platesmania.com/220320/inf/186984722d14b6.png;http://img03.platesmania.com/220320/o/18698472.jpg;http://img03.platesmania.com/220320/m/18698472.jpg
22;HFR-065;HFR-065, Suzuki Swift;http://img03.platesmania.com/220320/inf/186984384080b9.png;http://img03.platesmania.com/220320/o/18698438.jpg;http://img03.platesmania.com/220320/m/18698438.jpg
23;FFX-966;FFX-966, Toyota Carina E;http://img03.platesmania.com/220320/inf/18698396df90f4.png;http://img03.platesmania.com/220320/o/18698396.jpg;http://img03.platesmania.com/220320/m/18698396.jpg
24;MIX-037;MIX-037, Scania R-series;http://img03.platesmania.com/220320/inf/186983839a83db.png;http://img03.platesmania.com/220320/o/18698383.jpg;http://img03.platesmania.com/220320/m/18698383.jpg
25;SXT-624;SXT-624, Dacia Lodgy;http://img03.platesmania.com/220320/inf/18698380c31047.png;http://img03.platesmania.com/220320/o/18698380.jpg;http://img03.platesmania.com/220320/m/18698380.jpg
26;EMS-780;EMS-780, FIAT Panda;http://img03.platesmania.com/220320/inf/18698346c33572.png;http://img03.platesmania.com/220320/o/18698346.jpg;http://img03.platesmania.com/220320/m/18698346.jpg
27;IWM-060;IWM-060, Renault Twingo;http://img03.platesmania.com/220320/inf/186982773a19e3.png;http://img03.platesmania.com/220320/o/18698277.jpg;http://img03.platesmania.com/220320/m/18698277.jpg
28;GFX-767;GFX-767, Avia A31;http://img03.platesmania.com/220320/inf/18698256d2c2cc.png;http://img03.platesmania.com/220320/o/18698256.jpg;http://img03.platesmania.com/220320/m/18698256.jpg
29;RBZ-351;RBZ-351, Ford Fiesta;http://img03.platesmania.com/220320/inf/18698249951145.png;http://img03.platesmania.com/220320/o/18698249.jpg;http://img03.platesmania.com/220320/m/18698249.jpg
30;SHB-039;SHB-039, KIA Cee(;http://img03.platesmania.com/220320/inf/18698231a386d8.png;http://img03.platesmania.com/220320/o/18698231.jpg;http://img03.platesmania.com/220320/m/18698231.jpg
31;HXV-724;HXV-724, Renault Twingo;http://img03.platesmania.com/220320/inf/186981939bd0d4.png;http://img03.platesmania.com/220320/o/18698193.jpg;http://img03.platesmania.com/220320/m/18698193.jpg
32;JTZ-465;JTZ-465, Volkswagen Transporter;http://img03.platesmania.com/220320/inf/18698186ad59f2.png;http://img03.platesmania.com/220320/o/18698186.jpg;http://img03.platesmania.com/220320/m/18698186.jpg
33;FZE-667;FZE-667, ;http://img03.platesmania.com/220320/inf/18698182726531.png;http://img03.platesmania.com/220320/o/18698182.jpg;http://img03.platesmania.com/220320/m/18698182.jpg
34;P-04303;P-04303 21, FIAT Bravo;http://img03.platesmania.com/220320/inf/1869816420b952.png;http://img03.platesmania.com/220320/o/18698164.jpg;http://img03.platesmania.com/220320/m/18698164.jpg
35;P-03550;P-03550 21, Peugeot 206;http://img03.platesmania.com/220320/inf/18698147d87705.png;http://img03.platesmania.com/220320/o/18698147.jpg;http://img03.platesmania.com/220320/m/18698147.jpg
36;EER-800;EER-800, Opel Corsa;http://img03.platesmania.com/220320/inf/1869813060532d.png;http://img03.platesmania.com/220320/o/18698130.jpg;http://img03.platesmania.com/220320/m/18698130.jpg
37;PML-656;PML-656, Volvo FH;http://img03.platesmania.com/220320/inf/18698122b475fb.png;http://img03.platesmania.com/220320/o/18698122.jpg;http://img03.platesmania.com/220320/m/18698122.jpg
38;GZF-147;GZF-147, Ford Escort;http://img03.platesmania.com/220320/inf/186980857a8010.png;http://img03.platesmania.com/220320/o/18698085.jpg;http://img03.platesmania.com/220320/m/18698085.jpg
